open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1.492,1.494,1.455,1.48,644093807,588000.SH,2021-09-01,NA,NA,CNY
1.481,1.481,1.449,1.456,635272951,588000.SH,2021-09-02,NA,NA,CNY
1.45,1.47,1.437,1.457,752812234,588000.SH,2021-09-03,NA,NA,CNY
1.456,1.495,1.446,1.493,726645976,588000.SH,2021-09-06,NA,NA,CNY
1.483,1.496,1.479,1.494,400284342,588000.SH,2021-09-07,NA,NA,CNY
1.493,1.495,1.461,1.467,582434755,588000.SH,2021-09-08,NA,NA,CNY
1.461,1.477,1.445,1.454,490503438,588000.SH,2021-09-09,NA,NA,CNY
1.452,1.484,1.445,1.482,584937869,588000.SH,2021-09-10,NA,NA,CNY
1.475,1.477,1.438,1.438,687037625,588000.SH,2021-09-13,NA,NA,CNY
1.438,1.466,1.436,1.452,501122978,588000.SH,2021-09-14,NA,NA,CNY
1.449,1.45,1.432,1.437,466100621,588000.SH,2021-09-15,NA,NA,CNY
1.433,1.435,1.401,1.402,883672196,588000.SH,2021-09-16,NA,NA,CNY
1.403,1.415,1.385,1.413,867534348,588000.SH,2021-09-17,NA,NA,CNY
1.395,1.413,1.39,1.41,456035553,588000.SH,2021-09-22,NA,NA,CNY
1.413,1.428,1.405,1.419,486417921,588000.SH,2021-09-23,NA,NA,CNY
1.418,1.442,1.413,1.428,592149453,588000.SH,2021-09-24,NA,NA,CNY
1.435,1.448,1.408,1.424,531684215,588000.SH,2021-09-27,NA,NA,CNY
1.42,1.434,1.405,1.407,446481963,588000.SH,2021-09-28,NA,NA,CNY
1.398,1.412,1.389,1.399,639716005,588000.SH,2021-09-29,NA,NA,CNY
1.404,1.425,1.402,1.423,463786325,588000.SH,2021-09-30,NA,NA,CNY
1.432,1.44,1.415,1.417,442395066,588000.SH,2021-10-08,NA,NA,CNY
1.419,1.43,1.4,1.404,535707076,588000.SH,2021-10-11,NA,NA,CNY
1.401,1.408,1.364,1.371,919746409,588000.SH,2021-10-12,NA,NA,CNY
1.37,1.399,1.37,1.395,699312690,588000.SH,2021-10-13,NA,NA,CNY
1.391,1.406,1.391,1.398,337346746,588000.SH,2021-10-14,NA,NA,CNY
1.4,1.419,1.392,1.418,476937328,588000.SH,2021-10-15,NA,NA,CNY
1.416,1.417,1.391,1.405,427576026,588000.SH,2021-10-18,NA,NA,CNY
1.404,1.421,1.403,1.42,401052867,588000.SH,2021-10-19,NA,NA,CNY
1.424,1.434,1.416,1.424,461819579,588000.SH,2021-10-20,NA,NA,CNY
1.421,1.431,1.41,1.415,416431821,588000.SH,2021-10-21,NA,NA,CNY
1.416,1.43,1.412,1.423,391140494,588000.SH,2021-10-22,NA,NA,CNY
1.419,1.435,1.413,1.434,424311334,588000.SH,2021-10-25,NA,NA,CNY
1.434,1.441,1.424,1.429,479231563,588000.SH,2021-10-26,NA,NA,CNY
1.426,1.427,1.404,1.412,355638581,588000.SH,2021-10-27,NA,NA,CNY
1.408,1.422,1.405,1.412,326312925,588000.SH,2021-10-28,NA,NA,CNY
1.412,1.452,1.41,1.45,720939061,588000.SH,2021-10-29,NA,NA,CNY
1.449,1.47,1.445,1.459,541822818,588000.SH,2021-11-01,NA,NA,CNY
1.459,1.478,1.448,1.46,599499678,588000.SH,2021-11-02,NA,NA,CNY
1.461,1.472,1.44,1.454,459789000,588000.SH,2021-11-03,NA,NA,CNY
1.456,1.473,1.456,1.466,431258873,588000.SH,2021-11-04,NA,NA,CNY
1.469,1.471,1.448,1.453,482074528,588000.SH,2021-11-05,NA,NA,CNY
1.449,1.455,1.435,1.454,318471415,588000.SH,2021-11-08,NA,NA,CNY
1.454,1.476,1.45,1.476,476205396,588000.SH,2021-11-09,NA,NA,CNY
1.473,1.476,1.454,1.475,421041658,588000.SH,2021-11-10,NA,NA,CNY
1.469,1.498,1.467,1.493,525640950,588000.SH,2021-11-11,NA,NA,CNY
1.488,1.498,1.481,1.497,338673146,588000.SH,2021-11-12,NA,NA,CNY
1.498,1.504,1.485,1.486,392683537,588000.SH,2021-11-15,NA,NA,CNY
1.484,1.493,1.474,1.475,314339965,588000.SH,2021-11-16,NA,NA,CNY
1.474,1.493,1.47,1.491,343534114,588000.SH,2021-11-17,NA,NA,CNY
1.485,1.489,1.471,1.479,286268504,588000.SH,2021-11-18,NA,NA,CNY
1.477,1.501,1.475,1.501,396075273,588000.SH,2021-11-19,NA,NA,CNY
1.5,1.539,1.5,1.533,582089377,588000.SH,2021-11-22,NA,NA,CNY
1.529,1.542,1.528,1.532,389239248,588000.SH,2021-11-23,NA,NA,CNY
1.532,1.545,1.526,1.527,268522987,588000.SH,2021-11-24,NA,NA,CNY
1.526,1.534,1.521,1.524,231488790,588000.SH,2021-11-25,NA,NA,CNY
1.519,1.525,1.507,1.515,260774239,588000.SH,2021-11-26,NA,NA,CNY
1.505,1.531,1.5,1.531,353114681,588000.SH,2021-11-29,NA,NA,CNY
1.531,1.535,1.517,1.53,333126974,588000.SH,2021-11-30,NA,NA,CNY
1.528,1.535,1.509,1.511,306461138,588000.SH,2021-12-01,NA,NA,CNY
1.505,1.511,1.482,1.483,426356945,588000.SH,2021-12-02,NA,NA,CNY
1.483,1.5,1.483,1.499,317236582,588000.SH,2021-12-03,NA,NA,CNY
1.498,1.498,1.46,1.462,476441625,588000.SH,2021-12-06,NA,NA,CNY
1.468,1.471,1.435,1.447,574226193,588000.SH,2021-12-07,NA,NA,CNY
1.452,1.471,1.452,1.468,437621823,588000.SH,2021-12-08,NA,NA,CNY
1.469,1.493,1.463,1.489,459048526,588000.SH,2021-12-09,NA,NA,CNY
1.483,1.501,1.479,1.499,427506070,588000.SH,2021-12-10,NA,NA,CNY
1.497,1.502,1.488,1.495,414312751,588000.SH,2021-12-13,NA,NA,CNY
1.489,1.504,1.487,1.493,272995334,588000.SH,2021-12-14,NA,NA,CNY
1.489,1.495,1.474,1.475,221573370,588000.SH,2021-12-15,NA,NA,CNY
1.477,1.488,1.473,1.478,182336013,588000.SH,2021-12-16,NA,NA,CNY
1.474,1.481,1.448,1.452,357341347,588000.SH,2021-12-17,NA,NA,CNY
1.444,1.455,1.417,1.421,514369132,588000.SH,2021-12-20,NA,NA,CNY
1.419,1.434,1.417,1.431,284721650,588000.SH,2021-12-21,NA,NA,CNY
1.433,1.44,1.426,1.428,214834340,588000.SH,2021-12-22,NA,NA,CNY
1.431,1.433,1.421,1.43,190377658,588000.SH,2021-12-23,NA,NA,CNY
1.427,1.431,1.408,1.415,309289678,588000.SH,2021-12-24,NA,NA,CNY
1.413,1.424,1.404,1.411,288148892,588000.SH,2021-12-27,NA,NA,CNY
1.413,1.423,1.411,1.422,242348105,588000.SH,2021-12-28,NA,NA,CNY
1.42,1.423,1.406,1.41,232425354,588000.SH,2021-12-29,NA,NA,CNY
1.41,1.434,1.408,1.43,276807399,588000.SH,2021-12-30,NA,NA,CNY
1.435,1.454,1.435,1.452,341348514,588000.SH,2021-12-31,NA,NA,CNY
1.454,1.457,1.416,1.42,413029916,588000.SH,2022-01-04,NA,NA,CNY
1.418,1.421,1.381,1.384,724465228,588000.SH,2022-01-05,NA,NA,CNY
1.38,1.389,1.363,1.375,543252911,588000.SH,2022-01-06,NA,NA,CNY
1.378,1.384,1.358,1.358,524334772,588000.SH,2022-01-07,NA,NA,CNY
1.361,1.374,1.343,1.372,411566634,588000.SH,2022-01-10,NA,NA,CNY
1.372,1.372,1.343,1.344,560613501,588000.SH,2022-01-11,NA,NA,CNY
1.35,1.367,1.349,1.366,431005344,588000.SH,2022-01-12,NA,NA,CNY
1.367,1.369,1.347,1.348,366069840,588000.SH,2022-01-13,NA,NA,CNY
1.342,1.369,1.338,1.366,472000752,588000.SH,2022-01-14,NA,NA,CNY
1.366,1.395,1.363,1.391,553670501,588000.SH,2022-01-17,NA,NA,CNY
1.39,1.418,1.379,1.395,545849355,588000.SH,2022-01-18,NA,NA,CNY
1.39,1.394,1.371,1.378,300360551,588000.SH,2022-01-19,NA,NA,CNY
1.378,1.381,1.357,1.362,569042239,588000.SH,2022-01-20,NA,NA,CNY
1.356,1.36,1.341,1.344,576898342,588000.SH,2022-01-21,NA,NA,CNY
1.34,1.362,1.339,1.362,353119562,588000.SH,2022-01-24,NA,NA,CNY
1.355,1.362,1.326,1.327,588059997,588000.SH,2022-01-25,NA,NA,CNY
1.334,1.339,1.313,1.326,415914337,588000.SH,2022-01-26,NA,NA,CNY
1.32,1.329,1.29,1.291,613181200,588000.SH,2022-01-27,NA,NA,CNY
