open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1437.2638,1438.3776,1400.1594,1424.6642,2968492.08,000688.SH,2021-09-01,NA,NA,CNY
1416.1576,1424.1718,1395.5062,1399.4817,2513722.79,000688.SH,2021-09-02,NA,NA,CNY
1399.4653,1415.237,1382.6425,1400.8902,2754737.92,000688.SH,2021-09-03,NA,NA,CNY
1398.2433,1441.7099,1393.5389,1438.9953,2228395.68,000688.SH,2021-09-06,NA,NA,CNY
1435.7342,1443.3424,1426.026,1438.5691,1961250.79,000688.SH,2021-09-07,NA,NA,CNY
1439.6636,1439.6636,1408.7209,1412.7232,2061860.98,000688.SH,2021-09-08,NA,NA,CNY
1414.073,1425.2845,1393.6076,1402.1908,2277798.02,000688.SH,2021-09-09,NA,NA,CNY
1398.3316,1431.7057,1392.2062,1426.814,2753404.99,000688.SH,2021-09-10,NA,NA,CNY
1426.5403,1426.7633,1384.0201,1384.4339,2311703.77,000688.SH,2021-09-13,NA,NA,CNY
1384.2827,1414.0915,1383.4105,1396.6687,2261559.79,000688.SH,2021-09-14,NA,NA,CNY
1395.6109,1395.9883,1378.9494,1384.5213,1768496.81,000688.SH,2021-09-15,NA,NA,CNY
1378.1767,1380.1621,1347.9022,1351.4252,2071482.45,000688.SH,2021-09-16,NA,NA,CNY
1349.342,1360.9092,1332.0953,1349.6848,1960210.56,000688.SH,2021-09-17,NA,NA,CNY
1338.0143,1361.2129,1335.5035,1355.2812,1818481.23,000688.SH,2021-09-22,NA,NA,CNY
1359.6721,1376.5717,1354.2102,1363.7869,1672292.08,000688.SH,2021-09-23,NA,NA,CNY
1362.9793,1390.5031,1359.845,1374.9995,1869470.14,000688.SH,2021-09-24,NA,NA,CNY
1386.5235,1397.1804,1354.2019,1368.6905,1944758.87,000688.SH,2021-09-27,NA,NA,CNY
1362.3276,1379.5922,1350.794,1354.0959,1597093.37,000688.SH,2021-09-28,NA,NA,CNY
1344.8873,1356.6437,1336.5058,1345.7697,1924417.49,000688.SH,2021-09-29,NA,NA,CNY
1348.6497,1371.4941,1348.6497,1368.7158,1448579.23,000688.SH,2021-09-30,NA,NA,CNY
1378.5305,1388.0228,1361.0371,1364.4581,1541231.36,000688.SH,2021-10-08,NA,NA,CNY
1367.2126,1377.3116,1348.0499,1349.7707,1513014.76,000688.SH,2021-10-11,NA,NA,CNY
1348.2245,1355.9199,1312.4399,1319.3894,1624645.85,000688.SH,2021-10-12,NA,NA,CNY
1322.8884,1349.167,1322.8884,1344.7629,1565538.36,000688.SH,2021-10-13,NA,NA,CNY
1346.9885,1356.2118,1339.562,1347.268,1300761.15,000688.SH,2021-10-14,NA,NA,CNY
1349.4048,1367.2346,1341.7523,1363.1635,1580866.73,000688.SH,2021-10-15,NA,NA,CNY
1366.5541,1366.5541,1338.8891,1352.5749,1593947.84,000688.SH,2021-10-18,NA,NA,CNY
1355.07,1369.1628,1352.0107,1366.7911,1363856.19,000688.SH,2021-10-19,NA,NA,CNY
1370.2134,1381.0631,1363.6535,1373.593,1571714.92,000688.SH,2021-10-20,NA,NA,CNY
1374.6488,1379.1943,1355.9314,1362.4049,1533767.83,000688.SH,2021-10-21,NA,NA,CNY
1367.0587,1379.1876,1359.2732,1368.1361,2044367.22,000688.SH,2021-10-22,NA,NA,CNY
1366.2051,1381.2355,1359.6254,1380.3088,1735638.75,000688.SH,2021-10-25,NA,NA,CNY
1379.785,1389.4832,1372.6554,1376.1258,1774272.93,000688.SH,2021-10-26,NA,NA,CNY
1371.7912,1374.3617,1354.3047,1361.8172,2184986.84,000688.SH,2021-10-27,NA,NA,CNY
1359.0729,1371.1742,1354.7179,1356.3747,1956515.54,000688.SH,2021-10-28,NA,NA,CNY
1363.25,1398.4168,1355.3709,1396.1952,2409817.7,000688.SH,2021-10-29,NA,NA,CNY
1398.5852,1415.5761,1392.4007,1404.2078,2349330.12,000688.SH,2021-11-01,NA,NA,CNY
1405.8651,1423.9262,1395.6992,1405.6405,2819338.44,000688.SH,2021-11-02,NA,NA,CNY
1408.1959,1416.4734,1386.3954,1399.5496,2098887.87,000688.SH,2021-11-03,NA,NA,CNY
1404.6586,1420.334,1404.6586,1410.7421,2038347.96,000688.SH,2021-11-04,NA,NA,CNY
1416.243,1418.8812,1396.0334,1396.7382,2172884.95,000688.SH,2021-11-05,NA,NA,CNY
1398.5658,1401.0456,1381.6178,1400.7951,2005434.16,000688.SH,2021-11-08,NA,NA,CNY
1404.8897,1422.8961,1397.8212,1420.5088,2502743.27,000688.SH,2021-11-09,NA,NA,CNY
1417.6609,1423.3063,1398.8821,1420.4519,2386315.68,000688.SH,2021-11-10,NA,NA,CNY
1418.4838,1443.6028,1416.1839,1437.1495,2986363.69,000688.SH,2021-11-11,NA,NA,CNY
1432.7093,1444.4057,1425.581,1440.1567,2913610.06,000688.SH,2021-11-12,NA,NA,CNY
1441.4073,1448.0286,1429.3163,1432.5994,2296383.31,000688.SH,2021-11-15,NA,NA,CNY
1428.481,1438.6107,1418.1952,1421.2749,2055118.45,000688.SH,2021-11-16,NA,NA,CNY
1420.9881,1438.8014,1414.1235,1436.1583,1812232.0,000688.SH,2021-11-17,NA,NA,CNY
1433.508,1433.635,1417.1655,1423.9704,1854732.96,000688.SH,2021-11-18,NA,NA,CNY
